SKU                       物料名称                            单个SKU拣选时间(秒)
1001137966:A01            张紧轮总成                                 10.257
1000082958:A01            燃油回油管总成                               10.245
1003663368:A01            线束支架                                  10.244
1006112785:A01            管夹总成                                  10.235
1015279059:A01            燃油进油管总成                               10.210
1000577566:A01            燃油滤清器支架                               10.201
612600111847:A01          管                                     10.198
1005994957:A01            排气管支架                                 10.197
1000739690:A01            后取力润滑油管总成                             10.188
1001233008:A01            燃油进油管总成                               10.179
1001460158:A01            喷油泵法兰                                 10.170
612600040433:A01          节温器盖                                  10.166
1000971748:A01            燃油进油管总成                               10.166
1000723031:A01            支撑块                                   10.165
611600060028:A01          支架                                    10.162
AZ1500130018:A01          发电机支架                                 10.158
13065493:A01              水泵支架                                  10.152
1002940478:A01            支撑块                                   10.136
13053003:A01              垫块                                    10.132
1001311085:A01            垫片                                    10.125
1011213605:A01            发电机支架                                 10.123
1003781674:A01            燃油回油管                                 10.121
612630030026:A01          喷油泵齿轮                                 10.116
612600012995:A01          软轴支架                                  10.097
1011664499:A01            水泵水管                                  10.084
1000053994:A01            节温器盖                                  10.063
1000434718:A01            燃油滤清器支架                               10.044
1003019773:A01            水泵水管                                  10.037
1006616680:A01            管接头组件                                 10.030
13039772:A01              水管总成                                  10.016
1006903422:A01            铭牌                                    10.009
1000082956:A01            燃油进油管总成                               10.006
1000418770:A01            喷油泵齿轮                                  9.980
1000704740:A01            点火线圈衬套压板                               9.980
1006108268:A01            支架                                     9.975
612600080518:A01          喷油泵齿轮                                  9.969
1005183080:A01            停车电磁铁                                  9.968
612600083299:A01          喷油泵法兰                                  9.967
610800140010:A01          水泵水管                                   9.966
1002421265:A01            DPM进油管组件                               9.946
1011410195:A01            发动机吊板                                  9.942
610800090061:A01          空调压缩机支架                                9.938
611600060016:A01          水分配器垫片                                 9.936
612630080104:A01          线束支架                                   9.920
13057358:A01              垫块                                     9.916
612600131090:A01          管接头                                    9.912
13070581:A01              连接盖                                    9.904
1001667938:A01            后取力润滑油管总成                              9.900
AZ1500090132:A01          温度传感器                                  9.889
612600083315:A01          喷油泵齿轮                                  9.884
615Q0170015:A01           后取力齿轮                                  9.881
612600130053:A01          螺栓                                     9.879
1000186032:A01            发动机吊板                                  9.852
13038203:A01              排气管隔热罩                                 9.843
13055333:A01              支架                                     9.839
1000129329:A01            增压器润滑油管总成                              9.832
1000602235:A01            燃油回油管                                  9.828
6156809A:A01              火焰预热装置                                 9.827
612600113204:A01          冷却液连接胶管                                9.825
612700120001:A01          进气接管                                   9.811
1005282834:A01            风扇连接盘                                  9.808
612630030003:A01          凸轮轴正时齿轮                                9.772
1001296243:A01            加机油管总成                                 9.761
13068432:A01              风扇垫块                                   9.756
1005018696:A01            压气机进气管                                 9.753
1002285119:A01            盖板                                     9.752
611600080010:A01          高压油管总成                                 9.747
13071993:A01              高压油管总成                                 9.742
13033668:A01              增压器隔热罩                                 9.738
1007643269:A01            进气接管                                   9.731
13060570:A01              燃油进油管                                  9.725
410800040011:A01          油路连接胶管                                 9.708
1003133064:A01            燃油泄漏报警器支架                              9.706
1001249643:A01            燃油进油管总成                                9.690
1002449060:A01            气路连接胶管                                 9.686
1001022132:A01            中间齿轮轴                                  9.685
1001043236:A01            发动机吊板                                  9.678
1002480894:A01            压气机气管                                  9.653
612600090779:A01          发电机支架                                  9.649
1010894133:A01            支架                                     9.646
1007518203:A01            法兰                                     9.640
1000174750:A01            发动机支架                                  9.636
13026628:A01              发电机支架                                  9.633
612600081893:A01          喷油泵齿轮                                  9.629
1000465574:A01            水管接头                                   9.625
13057600:A01              盖板                                     9.623
13055465:A01              增压器润滑油管                                9.622
13067508:A01              垫片                                     9.600
1002242878:A01            支撑块                                    9.575
1012258313:A01            气路连接胶管                                 9.559
1006662539:A01            压气机出气管                                 9.555
1000943160:A01            电磁执行器                                  9.550
1000169814:A01            后取力润滑油管总成                              9.546
612600082372:A01          润滑油管总成                                 9.541
1006022639:A01            增压器润滑油管总成                              9.527
13026955:A01              排气接管                                   9.526
1001854131:A01            曲轴正时齿轮                                 9.518
12270684:A01              油标尺                                    9.517
612630030021:A01          后取力盖板                                  9.515
1001397330:A01            燃油进油管总成                                9.510
1001588500:A01            ECU支架                                  9.506
1005060595:A01            燃油进油管总成                                9.496
612640010028:A01          法兰                                     9.496
1001333958:A01            发动机吊板                                  9.478
612600082186:A01          支架                                     9.478
1008255359:A01            加机油管总成                                 9.478
1006016079:A01            燃油回油管总成                                9.477
612700030004:A01          喷油泵齿轮                                  9.475
1005822027:A01            增压器润滑油管总成                              9.469
612600060159:A01          冷却液连接胶管                                9.449
1005690075:A01            空压机水管总成                                9.431
1001298111:A01            发动机支架                                  9.399
612600061351:A01          张紧轮支架                                  9.395
13039241:A01              气路连接胶管                                 9.392
1006204216:A01            发动机吊板                                  9.365
